title	DOI	url	issns	journal	authors	issns1	issns2	published_on	last_updated	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_gplus_count	cited_by_msm_count	cited_by_posts_count	cited_by_rdts_count	cited_by_tweeters_count	cited_by_videos_count	cited_by_accounts_count	cited_by_patents_count	mendeley	altmetric_score	is_oa	author.names	issn	citations	CiteScore	SJR	WebQualis
Access and Attitudes Toward Palliative Care Among Movement Disorders Clinicians	10.1002/mds.28773	http://dx.doi.org/10.1002/mds.28773	0885-3185	Movement Disorders	Janis M. Miyasaki			2021	1657565575	5	1	0	2	37	0	24	0	32	0	46	32	FALSE	Janis M. Miyasaki, Shen‐Yang Lim, K. Ray Chaudhuri, Angelo Antonini, Maria Piemonte, Edward Richfield, Daniela Alburquerque Gonzalez, Stefan Lorenzl, Richard Walker, Roongroj Bhidayasiri, Raquel Bouca, Victor McConvey, the Task Force on Palliative Care of the International Parkinson and Movement Disorder Society	0885-3185	19	13.7	2.464	A1
Active Video Game Exercise Training Improves the Clinical Control of Asthma in Children: Randomized Controlled Trial	10.1371/journal.pone.0135433	http://dx.doi.org/10.1371/journal.pone.0135433	1932-6203	PLOS ONE	Evelim L. F. D. Gomes			2015	1613731857	1	0	0	0	31	0	26	0	27	0	258	17	TRUE	Evelim L. F. D. Gomes, Celso R. F. Carvalho, Fabiana Sobral Peixoto-Souza, Etiene Farah Teixeira-Carvalho, Juliana Fernandes Barreto Mendonça, Roberto Stirbulov, Luciana Maria Malosá Sampaio, Dirceu Costa	1932-6203	28	6.0	0.839	A1
Adaptação transcultural do quadro de estruturação para a modelagem conceitual de resultados de dispositivos de tecnologia assistiva para o português (Brasil)1	10.4322/2526-8910.ctoao1963	http://dx.doi.org/10.4322/2526-8910.ctoao1963	2526-8910	Cadernos Brasileiros de Terapia Ocupacional	Bárbara Iansã de Lima Barroso			2020	1597046094	0	0	0	0	2	0	2	0	2	0	15	1	TRUE	Bárbara Iansã de Lima Barroso, Selma Lancman	2526-8910	0	NA	0.254	B1
Adolescents with HIV and facial lipoatrophy: response to facial stimulation	10.6061/clinics/2014(08)12	http://dx.doi.org/10.6061/clinics/2014(08)12	1807-5932	Clinics	Jesus Claudio Gabana-Silveira			2014	1430182770	2	0	0	0	4	0	2	0	4	0	27	2	TRUE	Jesus Claudio Gabana-Silveira, Laura Davison Mangilli, Fernanda C Sassi, Arnaldo Feitosa Braga, Claudia Regina Furquim Andrade	1807-5932	2	3.5	0.535	A4
Aerobic exercise in polluted urban environments: effects on airway defense mechanisms in young healthy amateur runners	10.1088/1752-7163/10/4/046018	http://dx.doi.org/10.1088/1752-7163/10/4/046018	1752-7155	Journal of Breath Research	Matheus Cavalcante de Sá			2016	1505823789	0	0	0	0	1	0	1	0	1	0	83	1	FALSE	Matheus Cavalcante de Sá, Naomi Kondo Nakagawa, Carmen Diva Saldiva de André, Regiani Carvalho-Oliveira, Tômas de Santana Carvalho, Marina Lazzari Nicola, Paulo Afonso de André, Paulo Hilario Nascimento Saldiva, Mauro Vaisberg	1752-7155	19	7.4	0.784	A2
Aerobic training decreases bronchial hyperresponsiveness and systemic inflammation in patients with moderate or severe asthma: a randomised controlled trial	10.1136/thoraxjnl-2014-206070	http://dx.doi.org/10.1136/thoraxjnl-2014-206070	0040-6376	Thorax	Andrezza França-Pinto			2015	1552041905	13	2	1	5	209	0	155	0	177	0	301	159	TRUE	Andrezza França-Pinto, Felipe A R Mendes, Regina Maria de Carvalho-Pinto, Rosana Câmara Agondi, Alberto Cukier, Rafael Stelmach, Beatriz M Saraiva-Romanholo, Jorge Kalil, Milton A Martins, Pedro Giavina-Bianchi, Celso R F Carvalho	0040-6376	158	14.3	3.001	A1
Age-associated phenotypic imbalance in TCD4 and TCD8 cell subsets: comparison between healthy aged, smokers, COPD patients and young adults	10.1186/s12979-022-00267-y	http://dx.doi.org/10.1186/s12979-022-00267-y	1742-4933	Immunity & Ageing	Juliana Ruiz Fernandes			2022	1666740357	0	1	0	11	13	0	1	0	13	0	20	86	TRUE	Juliana Ruiz Fernandes, Thalyta Nery Carvalho Pinto, Liã Barbara Arruda, Cibele Cristine Berto Marques da Silva, Celso Ricardo Fernandes de Carvalho, Regina Maria Carvalho Pinto, Alberto José da Silva Duarte, Gil Benard	1742-4933	11	10.9	1.999	A3
Aging-related predictive factors for oxygenation improvement and mortality in COVID-19 and acute respiratory distress syndrome (ARDS) patients exposed to prone position: A multicenter cohort study	10.1016/j.clinsp.2023.100180	http://dx.doi.org/10.1016/j.clinsp.2023.100180	1807-5932	Clinics	Marieta C A Cunha			2023	1680468601	0	0	0	0	2	0	2	0	2	0	16	1	TRUE	Marieta C A Cunha, Jociane Schardong, Natiele C Righi, Adriana C Lunardi, Guadalupe N Sant'Anna, Larissa P Isensee, Rafaela F Xavier, Jose E Pompeu, Renata M Weigert, Darlan L Matte, Rozana A Cardoso, Ana C V Abras, Antonio M V Silva, Camila C Dorneles, Roberta W Werle, Ana C Starke, Juliana C Ferreira, Rodrigo D M Plentz, Celso R F Carvalho	1807-5932	1	3.5	0.535	A4
Aging, Diabetes, and Hypertension Are Associated With Decreased Nasal Mucociliary Clearance	10.1378/chest.12-1183	http://dx.doi.org/10.1378/chest.12-1183	0012-3692	CHEST	Janaína Proença de Oliveira-Maul			2013	1511545092	0	0	0	0	1	0	1	0	1	0	78	1	FALSE	Janaína Proença de Oliveira-Maul, Heráclito Barbosa de Carvalho, Danielle Miyuki Goto, Raphaela Mendonça Maia, Claudia Fló, Viviane Barnabé, Denise Reis Franco, Simon Benabou, Monica Rodrigues Perracini, Wilson Jacob-Filho, Paulo Hilário Nascimento Saldiva, Geraldo Lorenzi-Filho, Bruce K. Rubin, Naomi Kondo Nakagawa	0012-3692	62	11.9	2.123	A1
Airway and parenchyma immune cells in influenza A(H1N1)pdm09 viral and non-viral diffuse alveolar damage	10.1186/s12931-017-0630-x	http://dx.doi.org/10.1186/s12931-017-0630-x	1465-9921	Respiratory Research	Monique Buttignol			2017	1525815357	0	0	0	0	8	0	7	0	7	0	23	3	TRUE	Monique Buttignol, Ruy Camargo Pires-Neto, Renata Calciolari Rossi e Silva, Marina Ballarin Albino, Marisa Dolhnikoff, Thais Mauad	1465-9921	18	9.5	1.498	A2
Airway remodeling is reversed by aerobic training in a murine model of chronic asthma	10.1111/sms.12311	http://dx.doi.org/10.1111/sms.12311	0905-7188	Scandinavian Journal of Medicine & Science in Sports	R A Silva			2014	1467612626	1	0	0	1	6	0	3	0	5	0	47	12	FALSE	R A Silva, F M Almeida, C R Olivo, B M Saraiva-Romanholo, M A Martins, C R F Carvalho	0905-7188	14	7.8	1.485	A1
Alterations in the Lower Limb Joint Moments Precede the Peripheral Neuropathy Diagnosis in Diabetes Patients	10.1089/dia.2014.0284	http://dx.doi.org/10.1089/dia.2014.0284	1520-9156	Diabetes Technology & Therapeutics	Isabel C.N. Sacco			2015	1425824417	2	0	0	0	5	0	3	0	5	0	71	2	FALSE	Isabel C.N. Sacco, Andreja P. Picon, Diego Oliveira Macedo, Marcos Kenji Butugan, Ricky Watari, Cristina D. Sartor	1520-9156	32	11.6	2.957	A1
An 'Importance' Map of Signs and Symptoms to Classify Diabetic Polyneuropathy: An Exploratory Data Analysis	10.1371/journal.pone.0129763	http://dx.doi.org/10.1371/journal.pone.0129763	1932-6203	PLOS ONE	Isabel C. N. Sacco			2015	1435852518	0	0	0	0	3	0	3	0	3	0	59	2	TRUE	Isabel C. N. Sacco, Eneida Yuri Suda, Vincent Vigneron, Cristina Dallemole Sartor	1932-6203	4	6.0	0.839	A1
An online behavior change intervention to promote physical activity in adults with asthma: study protocol for a multicenter randomized controlled trial	10.1186/s13063-022-06881-x	http://dx.doi.org/10.1186/s13063-022-06881-x	1745-6215	Trials	Joice Mara de Oliveira			2022	1670482540	0	0	0	0	1	0	1	0	1	0	37	1	TRUE	Joice Mara de Oliveira, Manuela Karloh, Thiago Sousa Matias, Graziele Besen Barbosa, Patricia Duarte Freitas, Celso R. F. Carvalho, Karina Couto Furlanetto	1745-6215	0	3.6	0.812	B1
Analgesic efficacy of cerebral and peripheral electrical stimulation in chronic nonspecific low back pain: a randomized, double-blind, factorial clinical trial	10.1186/s12891-015-0461-1	http://dx.doi.org/10.1186/s12891-015-0461-1	1471-2474	BMC Musculoskeletal Disorders	Fuad Ahmad Hazime			2015	1450265523	0	0	0	0	2	0	1	0	1	0	252	1	TRUE	Fuad Ahmad Hazime, Diego Galace de Freitas, Renan Lima Monteiro, Rafaela Lasso Maretto, Nilza Aparecida de Almeida Carvalho, Renata Hydee Hasue, Silvia Maria Amado João	1471-2474	14	3.5	0.714	A3
Análise de Comportamento Aplicada e Distúrbios do Espectro do Autismo: revisão de literatura	10.1590/s2317-17822013000300016	http://dx.doi.org/10.1590/s2317-17822013000300016	2317-1782	CoDAS	Fernanda Dreux Miranda Fernandes			2013	1626027082	2	0	0	0	51	0	24	0	26	0	91	18	TRUE	Fernanda Dreux Miranda Fernandes, Cibelle Albuquerque de la Higuera Amato	2317-1782	9	1.0	0.307	A3
Análise de preditores de risco cumulativo para a gagueira persistente: percepção familiar e quantidade de rupturas da fala	10.1590/2317-1782/20232022206pt	http://dx.doi.org/10.1590/2317-1782/20232022206pt	2317-1782	CoDAS	Julia Biancalana Costa			2023	1700899752	0	0	0	0	1	0	1	0	1	0	2	1	TRUE	Julia Biancalana Costa, Fabiola Juste, Ana Paula Ritto, Fernanda Chiarion Sassi, Claudia Regina Furquim de Andrade	2317-1782	0	1.0	0.307	A3
Analysis of cardiac autonomic modulation of children with attention deficit hyperactivity disorder	10.2147/ndt.s49071	http://dx.doi.org/10.2147/ndt.s49071	1176-6328	Neuropsychiatric Disease and Treatment	Tatiana Dias de Carvalho			2014	1397438487	0	0	0	0	2	0	2	0	2	0	56	1	TRUE	Tatiana Dias de Carvalho, Rubens Wajnsztejn, Luiz Carlos de Abreu, Luiz Carlos Marques Vanderlei, Moacir Fernandes Godoy, Fernando Adami, Vitor E Valenti, Carlos B M Monteiro, Claudio Leone, Karen Cristina da Cruz Martins, Celso Ferreira	1176-6328	12	5.1	NA	A3
Analysis of macrolinguistic aspects of narratives from individuals with Alzheimer's disease, mild cognitive impairment, and no cognitive impairment	10.1016/j.dadm.2017.08.005	http://dx.doi.org/10.1016/j.dadm.2017.08.005	2352-8729	Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring	Cíntia Matsuda Toledo			2017	1506991929	1	0	0	0	2	0	1	0	2	0	83	1	TRUE	Cíntia Matsuda Toledo, Sandra Maria Aluísio, Leandro Borges dos Santos, Sonia Maria Dozzi Brucki, Eduardo Sturzeneker Trés, Maira Okada de Oliveira, Letícia Lessa Mansur	2352-8729	24	NA	1.636	A2
Analysis of motor performance in individuals with cerebral palsy using a non-immersive virtual reality task – a pilot study	10.2147/ndt.s184510	http://dx.doi.org/10.2147/ndt.s184510	1176-6328	Neuropsychiatric Disease and Treatment	Fabiana Paula Almeida Martins			2019	1679857469	1	1	0	1	8	0	5	0	8	0	141	19	TRUE	Fabiana Paula Almeida Martins, Thaís Massetti, Tania Brusque Crocetta, Priscila Bianchi Lopes, Amanda Abreu da Silva, Eliketylen Fernandes Figueiredo, Luiz Carlos de Abreu, Talita Dias da Silva, Carlos Bandeira de Mello Monteiro	1176-6328	17	5.1	NA	A3
Ângulo‐q na dor patelofemoral: relação com valgo dinâmico de joelho, torque abdutor do quadril, dor e função	10.1016/j.rbo.2015.05.003	http://dx.doi.org/10.1016/j.rbo.2015.05.003	0102-3616	Revista Brasileira de Ortopedia	Gabriel Peixoto Leão Almeida			2016	1456152158	1	0	0	0	2	0	1	0	2	0	94	2	TRUE	Gabriel Peixoto Leão Almeida, Fábio Jorge Renovato França, Maurício Oliveira Magalhães, Thomaz Nogueira Burke, Amélia Pasqual Marques	0102-3616	16	0.9	0.201	B1
Anthropometric profile, physical activity level, degree of anxiety, and posture in college students	10.1590/1809-2950/17160324022017	http://dx.doi.org/10.1590/1809-2950/17160324022017	2316-9117	Fisioterapia e Pesquisa	Deborah Cristina Gonçalves Luiz Fernani			2017	1509107427	1	0	0	0	1	0	0	0	1	0	25	1	TRUE	Deborah Cristina Gonçalves Luiz Fernani, Giovana Mendes Cortez, Isabelle Amaral Santos, Francis Lopes Pacagnelli, Thais Massetti, Talita Dias da Silva, Denise Cardoso Ribeiro Papa, Íbis Ariana Peña de Moraes, Carlos Bandeira de Mello Monteiro, Maria Tereza Artero Prado	2316-9117	4	NA	NA	B1
Anxiety and depression are related to dyspnea and clinical control but not with thoracoabdominal mechanics in patients with COPD	10.1016/j.resp.2015.01.011	http://dx.doi.org/10.1016/j.resp.2015.01.011	1569-9048	Respiratory Physiology & Neurobiology	Erickson Borges-Santos			2015	1422440098	0	0	0	0	8	0	8	0	8	0	66	6	FALSE	Erickson Borges-Santos, Juliano Takashi Wada, Cibele Marques da Silva, Ronaldo A. Silva, Rafael Stelmach, Celso R. Carvalho, Adriana C. Lunardi	1569-9048	16	4.7	0.574	A4
Applicability of an immersive virtual reality system for assessing route learning in older adults	10.1590/1980-5764-dn-2021-0006	http://dx.doi.org/10.1590/1980-5764-dn-2021-0006	1980-5764	Dementia & Neuropsychologia	Michelle Didone dos Santos			2022	1658479840	0	0	0	0	3	0	3	0	3	0	15	2	TRUE	Michelle Didone dos Santos, Juliana Magalhães da Silva, Raquel Quimas Molina da Costa, Larissa Alamino Pereira de Viveiro, Emerson Galves Moretto, Roseli de Deus Lopes, Sonia Maria Dozzi Brucki, José Eduardo Pompeu	1980-5764	0	2.7	0.42	B2
Application and outcomes of therapy combining transcranial direct current stimulation and virtual reality: a systematic review	10.1080/17483107.2016.1230152	http://dx.doi.org/10.1080/17483107.2016.1230152	1748-3107	Disability & Rehabilitation: Assistive Technology	Thais Massetti			2016	1523620328	0	0	0	0	11	0	9	0	9	0	220	6	FALSE	Thais Massetti, Tânia Brusque Crocetta, Talita Dias da Silva, Isabela Lopes Trevizan, Claudia Arab, Fátima Aparecida Caromano, Carlos Bandeira de Mello Monteiro	1748-3107	26	NA	0.69	A2
AQUA© as predictor of allergy in elite marathon runners	10.1186/1939-4551-7-7	http://dx.doi.org/10.1186/1939-4551-7-7	1939-4551	World Allergy Organization Journal	Renata N Teixeira			2014	1397489024	0	0	0	0	5	0	5	0	5	0	31	3	TRUE	Renata N Teixeira, Felipe AR Mendes, Milton A Martins, Timothy D Mickleborough, Celso RF Carvalho	1939-4551	12	7.3	1.206	A3
Are lumbar multifidus fatigue and transversus abdominis activation similar in patients with lumbar disc herniation and healthy controls? A case control study	10.1007/s00586-015-4375-2	http://dx.doi.org/10.1007/s00586-015-4375-2	0940-6719	European Spine Journal	Luiz Armando Vidal Ramos			2016	1464436634	2	0	0	0	6	0	4	0	6	0	82	4	FALSE	Luiz Armando Vidal Ramos, Fábio Jorge Renovato França, Bianca Callegari, Thomaz Nogueira Burke, Maurício Oliveira Magalhães, Amélia Pasqual Marques	0940-6719	18	4.7	1.042	A1
Assessing Cognitive Flexibility, Communication, Social Interaction and Interest Patterns of Persons with Autism as a Basis for Intervention	10.4236/psych.2015.64035	http://dx.doi.org/10.4236/psych.2015.64035	2152-7180	Psychology (Irvine)	de Andrade Varanda ristina			2015	1427442544	1	0	0	0	2	0	1	0	2	0	65	1	TRUE	de Andrade Varanda ristina, Dreux Miranda Fernandes Fernanda	2152-7180	1	NA	NA	B1
Assessing experience in the deliberate practice of running using a fuzzy decision-support system	10.1371/journal.pone.0183389	http://dx.doi.org/10.1371/journal.pone.0183389	1932-6203	PLOS ONE	Maria Isabel Roveri			2017	1503059840	0	0	0	0	1	0	1	0	1	0	56	1	TRUE	Maria Isabel Roveri, Edison de Jesus Manoel, Andrea Naomi Onodera, Neli R. S. Ortega, Vitor Daniel Tessutti, Emerson Vilela, Nelson Evêncio, Isabel C. N. Sacco	1932-6203	6	6.0	0.839	A1
Assessing functional status after intensive care unit stay: the Barthel Index and the Katz Index	10.1093/intqhc/mzx203	http://dx.doi.org/10.1093/intqhc/mzx203	1353-4505	International Journal for Quality in Health Care	Leda Tomiko Yamada da Silveira			2018	1614485681	2	0	0	0	44	0	36	0	38	0	120	20	TRUE	Leda Tomiko Yamada da Silveira, Janete Maria da Silva, Júlia Maria Pavan Soler, Carolina Yea Ling Sun, Clarice Tanaka, Carolina Fu	1353-4505	29	4.1	0.8	A2
Association between chemosensory impairment with neuropsychiatric morbidity in post-acute COVID-19 syndrome: results from a multidisciplinary cohort study	10.1007/s00406-022-01427-3	http://dx.doi.org/10.1007/s00406-022-01427-3	0940-1334	European Archives of Psychiatry and Clinical Neuroscience	Rodolfo Furlan Damiano			2022	1683884923	0	1	0	7	32	0	24	0	32	0	53	73	TRUE	Rodolfo Furlan Damiano, Deusdedit Brandão Neto, João Vitor Ribeiro Oliveira, Jonatas Magalhães Santos, Julia Vallin Rodrigues Alves, Bruno F. Guedes, Ricardo Nitrini, Adriana Ladeira de Araújo, Melaine Oliveira, André R. Brunoni, Richard Louis Voegels, Ricardo Ferreira Bento, Geraldo Busatto, Euripedes Constantino Miguel, Orestes V. Forlenza, Fabio de Rezende Pinna	0940-1334	13	9.3	1.381	A2
Association between Maximal Aerobic Capacity and Psychosocial Factors in Adults With Moderate-to-Severe Asthma	10.3109/02770903.2013.786724	http://dx.doi.org/10.3109/02770903.2013.786724	0277-0903	Journal of Asthma	Felipe A.R. Mendes			2013	1367328117	0	0	1	0	6	0	5	0	6	0	74	3	FALSE	Felipe A.R. Mendes, Adriana C. Lunardi, Ronaldo A. Silva, Alberto Cukier, Rafael Stelmach, Milton A. Martins, Celso R.F. Carvalho	0277-0903	13	3.6	0.609	B1
Association of Functional Disability and Biopsychosocial Factors in Older Adults With Low Back Pain Who Live in the Amazonas State Brazil: A Cross-Sectional Study	10.1016/j.jmpt.2022.03.017	http://dx.doi.org/10.1016/j.jmpt.2022.03.017	0161-4754	Journal of Manipulative & Physiological Therapeutics	Ingred Merllin Batista de Souza			2022	1656787948	0	0	0	0	1	0	1	0	1	0	16	1	FALSE	Ingred Merllin Batista de Souza, Lilian Regiani Merini, Rafaella de Souza Pereira Rodrigues, Adriana de Sousa do Espírito Santo, Amélia Pasqual Marques	0161-4754	0	2.5	0.419	A2
Association of Infants Exposed to Prenatal Zika Virus Infection With Their Clinical, Neurologic, and Developmental Status Evaluated via the General Movement Assessment Tool	10.1001/jamanetworkopen.2018.7235	http://dx.doi.org/10.1001/jamanetworkopen.2018.7235	2574-3805	JAMA Network Open	Christa Einspieler			2019	1574669093	4	1	1	2	18	0	7	0	16	0	200	29	TRUE	Christa Einspieler, Fabiana Utsch, Patricia Brasil, Carolina Y. Panvequio Aizawa, Colleen Peyton, Renata Hydee Hasue, Fernanda Françoso Genovesi, Luana Damasceno, Maria Elisabeth Moreira, Kristina Adachi, Peter B. Marschik, Karin Nielsen-Saines	2574-3805	96	15.1	3.478	A1
Association of physical therapy techniques can improve pain and urinary symptoms outcomes in women with bladder pain syndrome. A randomized controlled trial	10.1590/s1677-5538.ibju.2022.0056	http://dx.doi.org/10.1590/s1677-5538.ibju.2022.0056	1677-5538	International Brazilian Journal of Urology	Claudia Rosenblatt Hacad			2022	1657952714	1	0	0	0	1	0	0	0	1	0	39	1	TRUE	Claudia Rosenblatt Hacad, Marcos Lucon, Suehellen Anne Rocha Milhomem, Homero Bruschini, Clarice Tanaka	1677-5538	6	3.6	0.546	A4
Ataxia Telangiectasia in Siblings: Oral Motor and Swallowing Characterization	10.12659/ajcr.903592	http://dx.doi.org/10.12659/ajcr.903592	1507-6164	American Journal of Case Reports	Silmara Rondon-Melo			2017	1538942563	0	0	0	0	1	0	1	0	1	0	43	1	TRUE	Silmara Rondon-Melo, Isabel Junqueira de Almeida, Claudia Regina Furquim de Andrade, Fernanda Chiarion Sassi, Daniela Regina Molini-Avejonas	1507-6164	2	1.6	NA	NA
Atopy in Elite Endurance Athletes	10.1097/jsm.0000000000000444	http://dx.doi.org/10.1097/jsm.0000000000000444	1050-642X	Clinical Journal of Sport Medicine	Renata N Teixeira			2018	1529155200	0	0	0	0	1	0	1	0	1	0	31	1	FALSE	Renata N Teixeira, Gerson Dos Santos Leite, Matteo Bonini, Renata Gorjão, Rosana C Agondi, Cristina M Kokron, Celso R F Carvalho	1050-642X	6	4.7	0.921	A1
Attention deficit hyperactivity disorder and developmental coordination disorder: Two separate disorders or do they share a common etiology.	10.1016/j.bbr.2015.07.009	http://dx.doi.org/10.1016/j.bbr.2015.07.009	0166-4328	Behavioural Brain Research	Juliana B. Goulardins			2015	1697452515	2	0	0	0	15	0	10	0	15	0	266	11	FALSE	Juliana B. Goulardins, Daniela Rigoli, Melissa Licari, Jan P. Piek, Renata H. Hasue, Jaap Oosterlaan, Jorge A. Oliveira	0166-4328	81	6.2	0.897	A2
Audiological and electrophysiological alterations in HIV-infected individuals subjected or not to antiretroviral therapy	10.1016/j.bjorl.2017.07.003	http://dx.doi.org/10.1016/j.bjorl.2017.07.003	1808-8694	Brazilian Journal of Otorhinolaryngology	Carla Gentile Matas			2017	1699385264	0	0	0	0	5	0	3	0	3	0	51	2	TRUE	Carla Gentile Matas, Alessandra Giannella Samelli, Fernanda Cristina Leite Magliaro, Aluisio Segurado	1808-8694	7	2.6	0.47	A3
Audiological manifestations in HIV-positive adults	10.6061/clinics/2014(07)05	http://dx.doi.org/10.6061/clinics/2014(07)05	1807-5932	Clinics	Carla Gentile Matas			2014	1616846514	0	0	0	0	4	0	3	0	3	0	49	1	TRUE	Carla Gentile Matas, Rosanna Giaffredo Angrisani, Fernanda Cristina Leite Magliaro, Aluisio Augusto Cotrim Segurado	1807-5932	16	3.5	0.535	A4
Auditory and Visual Sustained Attention in Children with Speech Sound Disorder	10.1371/journal.pone.0093091	http://dx.doi.org/10.1371/journal.pone.0093091	1932-6203	PLOS ONE	Cristina F. B. Murphy			2014	1396192181	0	0	0	0	3	0	3	0	3	0	88	2	TRUE	Cristina F. B. Murphy, Luciana O. Pagan-Neves, Haydée F. Wertzner, Eliane Schochat	1932-6203	13	6.0	0.839	A1
Auditory Event Related Potentials in children with autism spectrum disorder	10.1016/j.ijporl.2021.110826	http://dx.doi.org/10.1016/j.ijporl.2021.110826	0165-5876	International Journal of Pediatric Otorhinolaryngology	Mariana K Kamita			2021	1625980539	0	0	0	0	2	0	2	0	2	0	30	1	FALSE	Mariana K Kamita, Liliane A F Silva, Fernanda C L Magliaro, Fernanda D Fernandes, Carla G Matas	0165-5876	4	3.0	0.568	A4
